Street;City;propertycard__detailvalue;quartos;banheiros;vagas;price
Rua Felício Elias ; Aclimação, São Paulo ;104;2;1;1;R$ 900.000
Rua Honduras ; Jardim Paulista, São Paulo ;250;3;5;5;R$ 3.200.000
Rua Artur Andrade, 64 ; Vila Marari, São Paulo ;90;2;5;2;R$ 440.000
Vila Suzana, São Paulo ; SP;110;2;2;2;R$ 540.000
Jardim Paulistano, São Paulo ; SP;220;3;5;3;R$ 2.800.000
Rua Capitão Otávio Machado ; Chácara Santo Antônio (Zona Sul), São Paulo ;218;4;4;3;R$ 1.250.000
Vila Leopoldina, São Paulo ; SP;150;2;2;1;R$ 580.000
Rua Professor Tranquilli ; Vila Mariana, São Paulo ;250;4;8;4;R$ 2.200.000
Avenida Conselheiro Rodrigues Alves ; Vila Mariana, São Paulo ;300;4;4;2;R$ 2.100.000
Cidade Jardim, São Paulo ; SP;450;4;5;4;R$ 2.200.000
Rua Albina Barbosa ; Aclimação, São Paulo ;130;2;3;2;R$ 1.100.000
Rua Eça de Queiróz ; Vila Mariana, São Paulo ;498;3;5;4;R$ 3.845.000
Rua Traipu ; Pacaembu, São Paulo ;735;4;1;15;"R$ 15.000
                      /Mês"
Rua Carlos Tiago Pereira ; Bosque da Saúde, São Paulo ;113;3;3;3;R$ 790.000
Avenida Lacerda Franco ; Cambuci, São Paulo ;260;3;3;2;R$ 980.000
Rua Petrópolis ; Sumaré, São Paulo ;450;4;5;4;R$ 2.970.000
Santo Amaro, São Paulo ; SP;695;4;7;4;R$ 4.850.000
Rua Vítor Dubugras ; Jardim da Glória, São Paulo ;233;3;5;5;R$ 1.200.000
Rua Bamboré ; Ipiranga, São Paulo ;128;3;1;2;R$ 850.000
Rua Xavier de Almeida ; Ipiranga, São Paulo ;165;3;2;2;R$ 975.000
Rua Antônio de Castro Mendonça Furtado, 373 ; Conjunto Residencial Butantã, São Paulo ;140;3;3;2;R$ 750.000
Rua Clementine Brenne ; Paraisópolis, São Paulo ;220;3;2;2;R$ 800.000
Rua Leucina ; Cidade Vargas, São Paulo ;190;3;1;2;R$ 620.000
Rua Teodureto Souto ; Cambuci, São Paulo ;180;3;2;2;R$ 1.000.000
Rua Ubaíra ; Indianópolis, São Paulo ;188;4;2;4;R$ 1.980.000
Rua Gama Cerqueira ; Cambuci, São Paulo ;169;3;3;4;R$ 1.250.000
Rua Tomé de Souza ; Lapa, São Paulo ;300;4;4;10;R$ 2.900.000
Morumbi, São Paulo ; SP;370;3;4;3;R$ 1.500.000
Avenida Roberto Lorenz ; Jardim Guedala, São Paulo ;500;4;5;7;R$ 4.500.000
Rua Luís Pereira de Almeida ; Jardins, São Paulo ;400;4;3;8;R$ 2.700.000
Avenida Jamaris ; Planalto Paulista, São Paulo ;410;3;2;2;R$ 4.920.000
Rua Gonçalves Crespo ; Tatuapé, São Paulo ;220;3;1;4;R$ 1.250.000
Rua José Bento ; Cambuci, São Paulo ;160;3;3;1;R$ 930.000
Rua Guadelupe ; Jardim América, São Paulo ;800;4;4;5;R$ 14.000.000
Rua Januário Miraglia ; Vila Nova Conceição, São Paulo ;270;4;3;2;R$ 2.800.000
Rua Mariano Procópio ; Vila Monumento, São Paulo ;180;4;5;2;R$ 1.230.000
Jardim América, São Paulo ; SP;624;4;8;5;R$ 15.000.000
Rua Groenlândia ; Jardim América, São Paulo ;440;4;6;4;"R$ 19.000
                      /Mês"
Rua Mariano Procópio ; Vila Monumento, São Paulo ;600;5;5;5;R$ 900.000
Rua Desembargador Francisco Meirelles dos Santos ; Jardim Santo Amaro, São Paulo ;540;3;6;4;"R$ 12.000
                      /Mês"
Rua Silveira da Mota ; Cambuci, São Paulo ;480;3;1;1;R$ 1.400.000
Rua Bernardo Sanches ; Real Parque, São Paulo ;533;4;5;6;R$ 2.200.000
Rua Gaspar Fernandes ; Vila Monumento, São Paulo ;160;2;1;1;R$ 700.000
Jardim Europa, São Paulo ; SP;700;3;6;4;R$ 12.500.000
Jardim Leonor, São Paulo ; SP;373;3;4;4;R$ 2.350.000
Rua Coronel Irlandino Sandoval ; Jardim Paulistano, São Paulo ;390;4;5;5;R$ 4.500.000
Rua Armando Pinto ; Sumarezinho, São Paulo ;180;3;2;6;R$ 1.470.000
Avenida Professor Fonseca Rodrigues ; Alto de Pinheiros, São Paulo ;593;4;7;4;R$ 8.067.520
Rua Alto do Bonfim ; Conjunto Residencial Jardim Canaã, São Paulo ;128;3;3;3;R$ 685.000
Rua Albertina de Oliveira Godinho ; Jardim Guedala, São Paulo ;900;4;7;10;R$ 4.000.000
Travessa Roberto Douglas Machado ; Jardim Paulistano, São Paulo ;170;2;2;2;R$ 3.300.000
Vila Jacuí, São Paulo ; SP;240;2;2;2;R$ 730.000
Rua Catipara ; Brooklin Paulista, São Paulo ;250;3;5;4;R$ 1.390.000
Rua Banabuiú ; Vila Comercial, São Paulo ;200;3;3;6;R$ 950.000
Rua Doutor Alberto Seabra ; Vila Madalena, São Paulo ;300;4;8;4;R$ 4.000.000
Rua Antônio Tavares ; Cambuci, São Paulo ;295;3;2;1;R$ 1.100.000
Morumbi, São Paulo ; SP;500;4;5;3;R$ 3.300.000
Rua Joinville ; Vila Mariana, São Paulo ;142;3;3;1;R$ 1.600.000
Rua Pedra Azul ; Aclimação, São Paulo ;200;3;1;4;R$ 4.000.000
Rua das Fiandeiras ; Vila Olímpia, São Paulo ;300;3;5;2;R$ 3.900.000
Rua dos Alcatrazes ; Chácara Flora, São Paulo ;1300;6;6;9;R$ 10.000.000
Rua João Álvares Soares ; Campo Belo, São Paulo ;302;4;6;3;R$ 2.650.000
Jardim Teresa, São Paulo ; SP;900;6;8;8;R$ 22.000.000
Rua Embuaçu ; Vila Mariana, São Paulo ;137;3;3;2;R$ 1.200.000
Rua Conde D'Eu ; Santo Amaro, São Paulo ;600;4;7;3;R$ 4.975.000
Jardim Panorama, São Paulo ; SP;639;4;6;4;R$ 3.500.000
Rua Suécia ; Jardim Europa, São Paulo ;660;5;7;4;R$ 18.000.000
Rua Montezuma ; Jardim das Bandeiras, São Paulo ;300;4;5;4;R$ 4.800.000
Rua Sampaio Vidal ; Jardim Paulistano, São Paulo ;195;3;4;6;R$ 5.500.000
Rua San Salvador, 0 ; Jardim América, São Paulo ;664;6;5;5;R$ 12.990.000
Rua Alvarenga Peixoto ; Vila Anastácio, São Paulo ;200;4;4;5;R$ 1.010.000
Rua Anunze ; Boaçava, São Paulo ;410;3;5;4;R$ 4.300.000
Mooca, São Paulo ; SP;101;2;2;5;R$ 640.000
Rua das Mimosas ; Vila Lúcia, São Paulo ;290;3;1;5;R$ 990.000
Jardim da Glória, São Paulo ; SP;271;4;5;4;R$ 1.950.000
Brooklin Paulista, São Paulo ; SP;416;4;4;3;"R$ 7.000
                      /Mês"
Retiro Morumbi, São Paulo ; SP;950;5;11;18;R$ 14.600.000
Jardim Brasília (Zona Leste), São Paulo ; SP;300;3;2;2;R$ 320.000
Rua Morgado de Mateus ; Vila Mariana, São Paulo ;300;4;3;2;R$ 2.260.000
Rua Leandro de Carvalho ; Vila Monumento, São Paulo ;180;3;1;3;R$ 1.000.000
Rua Vigário João Álvares ; Vila Monumento, São Paulo ;300;4;3;4;R$ 1.000.000
Jardim Morumbi, São Paulo ; SP;450;4;5;7;R$ 2.600.000
Rua Eduardo Saigh Filho, 251 ; Vila Tramontano, São Paulo ;600;4;6;5;R$ 3.200.000
Rua Vieira Fazenda ; Vila Mariana, São Paulo ;340;1;3;3;R$ 2.000.000
Vila Madalena, São Paulo ; SP;461;4;7;2;R$ 2.500.000
Rua Crisólita ; Jardim da Glória, São Paulo ;186;2;2;3;R$ 1.400.000
Paineiras do Morumbi, São Paulo ; SP;744;4;6;5;"R$ 20.000
                      /Mês"
Rua Eugênio Falk ; Saúde, São Paulo ;100;2;1;2;R$ 480.000
Rua Cayowaá, 1755 ; Sumaré, São Paulo ;131;3;3;1;R$ 990.000
Rua Oliveira Melo ; Vila São José (Ipiranga), São Paulo ;440;6;4;3;R$ 1.350.000
Rua Dom Valverde ; Vila Monumento, São Paulo ;290;3;5;2;R$ 1.300.000
Rua Coronel Irlandino Sandoval ; Jardim Paulistano, São Paulo ;390;4;5;5;R$ 4.900.000
Rua Doutor Inácio Arruda ; Vila Monumento, São Paulo ;420;3;3;3;R$ 1.800.000
Rua Simão Dias da Fonseca ; Cambuci, São Paulo ;240;3;1;2;R$ 1.700.000
Rua Albina Barbosa ; Aclimação, São Paulo ;180;3;3;2;R$ 1.300.000
Rua João Florêncio ; Pacaembu, São Paulo ;320;2;4;4;R$ 3.192.000
Rua Mesquita ; Vila Deodoro, São Paulo ;100;3;2;2;R$ 750.000
Rua Puréus ; Jardim Guedala, São Paulo ;526;4;5;3;"R$ 12.000
                      /Mês"
Jardim Viana, São Paulo ; SP;375;3;5;5;R$ 2.800.000
Jardim Leonor, São Paulo ; SP;360;4;4;4;R$ 3.500.000
Rua Southey ; Vila Dom Pedro I, São Paulo ;248;4;3;5;R$ 1.180.000
Rua Joel Jorge de Melo ; Vila Mariana, São Paulo ;72;2;1;1;R$ 810.000
Rua Dom Duarte Leopoldo ; Cambuci, São Paulo ;548;5;6;4;R$ 1.900.000
Rua Eduardo ; Vila Albertina, São Paulo ;500;5;3;3;R$ 2.000.000
Rua Oliveira Lima ; Cambuci, São Paulo ;350;3;4;15;R$ 960.000
Rua Lacedemônia ; Jardim Brasil (Zona Sul), São Paulo ;152;3;5;2;R$ 840.000
Rua Pero Correia ; Vila Mariana, São Paulo ;180;3;3;1;R$ 790.000
Rua da União ; Vila Mariana, São Paulo ;250;3;4;2;R$ 2.100.000
Rua Leopoldo Amaral ; Jardim da Glória, São Paulo ;260;4;1;5;R$ 1.300.000
Rua Conde Vicente de Azevedo ; Vila Monumento, São Paulo ;95;2;2;3;R$ 750.000
Avenida Aratãs ; Indianópolis, São Paulo ;464;4;4;4;R$ 3.300.000
Rua Boa Esperança do Sul ; Jardim Guedala, São Paulo ;1050;4;7;10;"R$ 25.000
                      /Mês"
Jardim Europa, São Paulo ; SP;340;3;3;10;"R$ 30.000
                      /Mês"
Rua Curucáia ; Saúde, São Paulo ;150;3;4;2;R$ 820.000
Jardim Danfer, São Paulo ; SP;92;2;2;1;R$ 320.000
Rua Paulo Orozimbo ; Cambuci, São Paulo ;103;2;2;1;R$ 785.000
Rua Armando Pinto ; Sumarezinho, São Paulo ;120;6;4;5;R$ 1.500.000
Rua Colatino Marques ; Jardim Paulista, São Paulo ;400;4;2;4;R$ 4.800.000
Rua Rumaica ; Vila Ipojuca, São Paulo ;161;3;2;2;R$ 900.000
Rua Francisco Polito ; Vila Prudente, São Paulo ;50;1;1;1;R$ 289.000
Rua Mariana Corrêa ; Jardim Paulistano, São Paulo ;258;3;3;2;R$ 2.700.000
Rua Zeferino da Costa ; Aclimação, São Paulo ;230;4;4;8;R$ 3.000.000
Jardim Europa, São Paulo ; SP;524;4;2;5;R$ 7.000.000
Jardim Guedala, São Paulo ; SP;429;4;6;8;"R$ 25.000
                      /Mês"
Rua Guihei Vatanabe, 83 ; Vila Progredior, São Paulo ;70;3;2;2;R$ 650.000
Rua Professor Murtinho ; Vila Mariana, São Paulo ;225;4;4;2;R$ 2.450.000
Rua dos Caciques ; Vila da Saúde, São Paulo ;220;3;5;4;R$ 1.050.000
Rua Guajurus ; Jardim São Paulo(Zona Norte), São Paulo ;239;3;3;2;R$ 1.790.000
Rua Capote Valente ; Pinheiros, São Paulo ;136;3;3;3;R$ 2.200.000
Rua Carpina ; Jardim Everest, São Paulo ;935;6;6;12;R$ 2.500.000
Rua Groenlândia ; Jardim América, São Paulo ;500;2;4;16;"R$ 35.000
                      /Mês"
Rua Meruoca ; Jardim da Glória, São Paulo ;156;3;2;2;R$ 800.000
Rua Coronel Irlandino Sandoval ; Jardim Paulistano, São Paulo ;700;4;3;2;"R$ 30.000
                      /Mês"
Rua das Zínias ; Cidade Jardim, São Paulo ;448;4;5;6;"R$ 26.000
                      /Mês"
Rua Comandante Ismael Guilherme, , 537 ; Jardim Luzitânia, São Paulo ;600;3;5;4;R$ 12.000.000
Santo Amaro, São Paulo ; SP;155;3;2;4;R$ 1.200.000
Praça Visconde de Porto Seguro ; Jardim Leonor, São Paulo ;631;5;8;4;R$ 3.700.000
Jardim Leonor, São Paulo ; SP;370;3;5;5;R$ 2.500.000
Rua Luiz Menezes ; Parque Ramos Freitas, São Paulo ;130;3;3;2;R$ 410.000
Rua Panônia ; Jardim Colombo, São Paulo ;137;3;3;2;R$ 750.000
Rua Manduri ; Jardim Paulistano, São Paulo ;450;6;4;6;R$ 4.500.000
Rua Colônia da Glória ; Vila Mariana, São Paulo ;185;3;3;2;R$ 750.000
Rua Brás Lourenço ; Vila Mariana, São Paulo ;208;5;1;4;R$ 790.000
Rua Javaés ; Bom Retiro, São Paulo ;334;3;2;2;R$ 1.500.000
Rua Giovanni Carnovali ; Vila Caraguatá, São Paulo ;123;4;2;2;R$ 500.000
Rua Iraúna ; Indianópolis, São Paulo ;270;4;5;2;R$ 2.900.000
Jardim Europa, São Paulo ; SP;700;3;6;4;R$ 12.500.000
Jardim Leonor, São Paulo ; SP;373;3;4;4;R$ 2.350.000
Rua Coronel Irlandino Sandoval ; Jardim Paulistano, São Paulo ;390;4;5;5;R$ 4.500.000
Rua Armando Pinto ; Sumarezinho, São Paulo ;180;3;2;6;R$ 1.470.000
Avenida Professor Fonseca Rodrigues ; Alto de Pinheiros, São Paulo ;593;4;7;4;R$ 8.067.520
Rua Alto do Bonfim ; Conjunto Residencial Jardim Canaã, São Paulo ;128;3;3;3;R$ 685.000
Rua Albertina de Oliveira Godinho ; Jardim Guedala, São Paulo ;900;4;7;10;R$ 4.000.000
Travessa Roberto Douglas Machado ; Jardim Paulistano, São Paulo ;170;2;2;2;R$ 3.300.000
Vila Jacuí, São Paulo ; SP;240;2;2;2;R$ 730.000
Rua Catipara ; Brooklin Paulista, São Paulo ;250;3;5;4;R$ 1.390.000
Rua Banabuiú ; Vila Comercial, São Paulo ;200;3;3;6;R$ 950.000
Rua Doutor Alberto Seabra ; Vila Madalena, São Paulo ;300;4;8;4;R$ 4.000.000
Rua Antônio Tavares ; Cambuci, São Paulo ;295;3;2;1;R$ 1.100.000
Morumbi, São Paulo ; SP;500;4;5;3;R$ 3.300.000
Rua Joinville ; Vila Mariana, São Paulo ;142;3;3;1;R$ 1.600.000
Rua Pedra Azul ; Aclimação, São Paulo ;200;3;1;4;R$ 4.000.000
Rua das Fiandeiras ; Vila Olímpia, São Paulo ;300;3;5;2;R$ 3.900.000
Rua dos Alcatrazes ; Chácara Flora, São Paulo ;1300;6;6;9;R$ 10.000.000
Rua João Álvares Soares ; Campo Belo, São Paulo ;302;4;6;3;R$ 2.650.000
Jardim Teresa, São Paulo ; SP;900;6;8;8;R$ 22.000.000
Rua Embuaçu ; Vila Mariana, São Paulo ;137;3;3;2;R$ 1.200.000
Rua Conde D'Eu ; Santo Amaro, São Paulo ;600;4;7;3;R$ 4.975.000
Jardim Panorama, São Paulo ; SP;639;4;6;4;R$ 3.500.000
Rua Suécia ; Jardim Europa, São Paulo ;660;5;7;4;R$ 18.000.000
Rua Montezuma ; Jardim das Bandeiras, São Paulo ;300;4;5;4;R$ 4.800.000
Rua Sampaio Vidal ; Jardim Paulistano, São Paulo ;195;3;4;6;R$ 5.500.000
Rua San Salvador, 0 ; Jardim América, São Paulo ;664;6;5;5;R$ 12.990.000
Rua Alvarenga Peixoto ; Vila Anastácio, São Paulo ;200;4;4;5;R$ 1.010.000
Rua Anunze ; Boaçava, São Paulo ;410;3;5;4;R$ 4.300.000
Mooca, São Paulo ; SP;101;2;2;5;R$ 640.000
Rua das Mimosas ; Vila Lúcia, São Paulo ;290;3;1;5;R$ 990.000
Jardim da Glória, São Paulo ; SP;271;4;5;4;R$ 1.950.000
Brooklin Paulista, São Paulo ; SP;416;4;4;3;"R$ 7.000
                      /Mês"
Retiro Morumbi, São Paulo ; SP;950;5;11;18;R$ 14.600.000
Jardim Brasília (Zona Leste), São Paulo ; SP;300;3;2;2;R$ 320.000
Rua Morgado de Mateus ; Vila Mariana, São Paulo ;300;4;3;2;R$ 2.260.000
Rua Oliveira Melo ; Vila São José (Ipiranga), São Paulo ;190;3;1;1;R$ 895.000
Retiro Morumbi, São Paulo ; SP;800;4;6;9;"R$ 30.000
                      /Mês"
Jardim Leonor, São Paulo ; SP;554;4;2;3;R$ 2.500.000
Jardim das Bandeiras, São Paulo ; SP;709;4;6;6;R$ 12.500.000
Alameda dos Uapês ; Planalto Paulista, São Paulo ;300;3;2;2;R$ 2.100.000
Planalto Paulista, São Paulo ; SP;600;4;6;5;R$ 7.800.000
Rua Ipero ; Jardim das Bandeiras, São Paulo ;180;3;2;3;R$ 3.000.000
Vila São Silvestre, São Paulo ; SP;130;3;3;3;R$ 1.100.000
Rua Dom Duarte Leopoldo ; Cambuci, São Paulo ;70;2;1;1;R$ 590.000
Rua dos Viajantes ; Vila Monumento, São Paulo ;357;3;5;7;R$ 1.900.000
Rua Marcelino Champagnat ; Jardim da Glória, São Paulo ;237;4;3;3;R$ 1.650.000
Avenida Capitão Anselmo Barcelos ; Vila Rio Branco, São Paulo ;250;3;3;2;R$ 740.000
Rua Suécia ; Jardim Europa, São Paulo ;660;5;7;4;R$ 18.000.000
Rua Victor Brecheret ; Vila Mariana, São Paulo ;120;3;3;3;R$ 1.780.000
Rua Ribeirão Bonito ; Vila Moinho Velho, São Paulo ;321;4;6;3;R$ 1.500.000
Rua Colatino Marques ; Jardim Paulista, São Paulo ;300;4;3;3;R$ 4.650.000
Rua Doutor Dolzani ; Jardim da Glória, São Paulo ;175;4;5;3;R$ 950.000
Vila Sílvia, São Paulo ; SP;125;2;3;2;R$ 300.000
Rua Pirituba ; Mirandópolis, São Paulo ;120;3;3;2;R$ 1.200.000
Avenida Lacerda Franco ; Cambuci, São Paulo ;120;3;1;1;R$ 670.000
Rua Michel Mograbi ; Praia Azul, São Paulo ;471;6;4;8;R$ 3.000.000
Rua Votuporanga ; Sumaré, São Paulo ;280;3;4;3;R$ 3.300.000
Fazenda Morumbi, São Paulo ; SP;490;3;6;8;"R$ 16.000
                      /Mês"
Rua Filadelfo Aranha, 35 ; Vila Madalena, São Paulo ;483;4;2;2;R$ 6.300.000
Fazenda Morumbi, São Paulo ; SP;1000;5;8;6;"R$ 35.000
                      /Mês"
Paineiras do Morumbi, São Paulo ; SP;794;4;4;6;R$ 5.500.000
Rua João Álvares Soares ; Campo Belo, São Paulo ;390;8;2;4;R$ 2.500.000
Rua Pamplona ; Jardim Paulista, São Paulo ;156;4;4;2;R$ 2.340.000
Rua Colatino Marques ; Jardim Paulista, São Paulo ;570;4;3;4;"R$ 29.000
                      /Mês"
Vila Ida, São Paulo ; SP;527;8;8;8;R$ 2.850.000
Boaçava, São Paulo ; SP;530;4;4;6;"R$ 15.000
                      /Mês"
Rua João do Prado ; Aclimação, São Paulo ;350;4;6;5;R$ 3.000.000
Santo Amaro, São Paulo ; SP;230;3;2;3;R$ 1.950.000
Vila Nova Conceição, São Paulo ; SP;490;2;2;3;R$ 14.000.000
Jardim Paulistano, São Paulo ; SP;433;5;3;8;R$ 6.500.000
Rua Luisiania ; Brooklin Paulista, São Paulo ;249;3;5;3;R$ 2.200.000
Rua Crisólita ; Jardim da Glória, São Paulo ;198;3;5;5;R$ 1.100.000
Alto de Pinheiros, São Paulo ; SP;381;4;6;4;R$ 5.600.000
Rua Maracaí ; Aclimação, São Paulo ;140;3;4;1;R$ 910.000
Rua Bauru ; Pacaembu, São Paulo ;330;4;4;4;R$ 1.970.000
Santo Amaro, São Paulo ; SP;251;3;4;5;R$ 2.400.000
Jardim Europa, São Paulo ; SP;580;3;4;3;R$ 9.000.000
Rua Mário Gonçalves de Oliveira, 138 ; Fazenda Morumbi, São Paulo ;380;5;7;4;R$ 1.300.000
Rua Martim Peres ; Bosque da Saúde, São Paulo ;342;3;3;6;"R$ 4.500
                      /Mês"
Alto de Pinheiros, São Paulo ; SP;359;3;4;5;R$ 3.800.000
Rua Doutor Artur Orlando Silva ; Chácara das Paineiras, São Paulo ;400;3;6;6;R$ 3.890.000
Rua Barão do Bananal ; Vila Pompéia, São Paulo ;84;3;3;1;R$ 1.160.000
Rua Sargento Gilberto Marcondes Machado, 147 ; Paineiras do Morumbi, São Paulo ;850;5;6;6;R$ 5.000.000
Rua São João Del Rei ; Jardim da Glória, São Paulo ;140;3;1;2;R$ 900.000
Rua Campo Largo ; Vila Bertioga, São Paulo ;259;2;1;5;R$ 950.000
Rua Olímpio de Campos ; Jardim Vila Formosa, São Paulo ;260;4;3;2;R$ 800.000
Rua Comandante Ismael Guilherme ; Jardim Luzitânia, São Paulo ;500;3;3;3;R$ 12.720.000
Vila Romana, São Paulo ; SP;220;3;2;3;R$ 1.290.000
Alto de Pinheiros, São Paulo ; SP;534;3;3;2;R$ 5.500.000
Rua Saturno ; Aclimação, São Paulo ;300;2;2;6;R$ 3.200.000
Rua Macambará ; Cidade Monções, São Paulo ;139;3;4;2;R$ 1.440.000
Vila Morumbi, São Paulo ; SP;715;5;7;6;R$ 7.900.000
Vila Pedroso, São Paulo ; SP;90;2;2;2;R$ 485.000
Moema, São Paulo ; SP;144;3;3;1;R$ 1.430.000
Rua Senador César Lacerda Vergueiro ; Sumarezinho, São Paulo ;248;4;3;5;R$ 3.500.000
Vila Ida, São Paulo ; SP;490;4;3;4;"R$ 15.000
                      /Mês"
Travessa Saveiros de Maroim ; Vila Constança, São Paulo ;80;2;2;4;"R$ 2.000
                      /Mês"
Rua Guaianaz da Fonseca ; Vila Madalena, São Paulo ;140;2;2;1;R$ 1.280.000
Rua Almirante de Inhaúma ; Alto da Lapa, São Paulo ;255;3;7;4;R$ 1.750.000
Rua Doutor Albino Rodrigues de Alvarenga ; Vila Universitária, São Paulo ;180;3;1;2;R$ 460.000
Jardim Guedala, São Paulo ; SP;702;3;5;6;R$ 5.500.000
Rua Marassa ; Jardim Campo Grande, São Paulo ;180;3;4;5;R$ 1.800.000
Jardim Guedala, São Paulo ; SP;828;5;7;12;R$ 6.000.000
Alameda Itu ; Jardim Paulista, São Paulo ;250;3;3;1;R$ 2.995.000
Vila Morse, São Paulo ; SP;200;3;2;2;R$ 630.000
Rua Ministro Sinésio Rocha ; Jardim Vera Cruz, São Paulo ;150;4;3;2;R$ 1.300.000
Rua Mongóis ; Vila Monumento, São Paulo ;240;3;4;5;R$ 1.290.000
Jardim Everest, São Paulo ; SP;1100;5;3;10;R$ 8.400.000
Avenida Professor Fonseca Rodrigues ; Alto de Pinheiros, São Paulo ;473;4;6;4;R$ 7.243.185
Avenida Professor Fonseca Rodrigues ; Alto de Pinheiros, São Paulo ;560;4;6;4;R$ 8.129.860
Avenida Professor Fonseca Rodrigues ; Alto de Pinheiros, São Paulo ;499;4;5;4;R$ 6.863.720
Rua Doutor João Neves Neto ; Jardim Guedala, São Paulo ;750;5;8;8;R$ 7.500.000
Rua José Yazigi ; Jardim Leonor, São Paulo ;430;4;3;6;"R$ 17.000
                      /Mês"
Rua Carlos Baptista de Magalhães ; Jardim Prudência, São Paulo ;284;4;5;3;R$ 2.200.000
Rua Rubi ; Aclimação, São Paulo ;395;4;4;3;"R$ 8.500
                      /Mês"
Vila Brasílio Machado, São Paulo ; SP;178;3;1;3;R$ 690.000
Rua Otávio Tarquínio de Sousa ; Campo Belo, São Paulo ;160;3;3;2;"R$ 4.500
                      /Mês"
Rua Tangará ; Vila Mariana, São Paulo ;128;2;2;1;R$ 848.000
Rua Suécia ; Jardim Europa, São Paulo ;700;6;6;8;R$ 10.900.000
Rua Paris, 455 ; Sumaré, São Paulo ;125;2;2;2;R$ 890.000
Alto de Pinheiros, São Paulo ; SP;377;3;5;3;R$ 4.100.000
Rua Engenheiro Prudente ; Vila Monumento, São Paulo ;320;4;5;3;R$ 995.000
Rua Saturno ; Aclimação, São Paulo ;162;3;3;2;R$ 1.500.000
Rua Potenji ; Vila Mariana, São Paulo ;280;3;2;2;R$ 1.950.000
Rua do Ceuta ; Jardim Luzitânia, São Paulo ;480;4;1;6;R$ 5.500.000
Rua Sebastião Cabot ; Jardim Guedala, São Paulo ;969;4;4;8;R$ 18.000.000
Rua Muniz de Sousa ; Aclimação, São Paulo ;290;3;3;5;R$ 3.200.000
Rua Fonseca Galvão ; Jardim da Glória, São Paulo ;178;3;2;2;R$ 900.000
Avenida Lins de Vasconcelos ; Vila Mariana, São Paulo ;400;7;5;2;R$ 3.200.000
Santo Amaro, São Paulo ; SP;313;3;3;4;R$ 1.800.000
Rua Backer ; Cambuci, São Paulo ;200;3;3;2;R$ 1.280.000
Rua Urumis ; Jardim Textil, São Paulo ;296;3;4;7;R$ 1.000.000
Rua Marco Aurélio ; Vila Romana, São Paulo ;120;3;2;2;R$ 870.000
Rua Los Angeles ; Cidade Monções, São Paulo ;175;3;3;2;R$ 1.380.000
Rua Itápolis ; Pacaembu, São Paulo ;350;3;1;5;R$ 2.600.000
Praça José Vicente Nóbrega ; Cambuci, São Paulo ;128;3;1;2;R$ 700.000
Jardim Europa, São Paulo ; SP;580;3;4;3;R$ 9.000.000
Rua Mário Gonçalves de Oliveira, 138 ; Fazenda Morumbi, São Paulo ;380;5;7;4;R$ 1.300.000
Rua Martim Peres ; Bosque da Saúde, São Paulo ;342;3;3;6;"R$ 4.500
                      /Mês"
Alto de Pinheiros, São Paulo ; SP;359;3;4;5;R$ 3.800.000
Rua Doutor Artur Orlando Silva ; Chácara das Paineiras, São Paulo ;400;3;6;6;R$ 3.890.000
Rua Barão do Bananal ; Vila Pompéia, São Paulo ;84;3;3;1;R$ 1.160.000
Rua Sargento Gilberto Marcondes Machado, 147 ; Paineiras do Morumbi, São Paulo ;850;5;6;6;R$ 5.000.000
Rua São João Del Rei ; Jardim da Glória, São Paulo ;140;3;1;2;R$ 900.000
Rua Campo Largo ; Vila Bertioga, São Paulo ;259;2;1;5;R$ 950.000
Rua Olímpio de Campos ; Jardim Vila Formosa, São Paulo ;260;4;3;2;R$ 800.000
Rua Comandante Ismael Guilherme ; Jardim Luzitânia, São Paulo ;500;3;3;3;R$ 12.720.000
Vila Romana, São Paulo ; SP;220;3;2;3;R$ 1.290.000
Travessa Saveiros de Maroim ; Vila Constança, São Paulo ;80;2;2;4;"R$ 2.000
                      /Mês"
Rua Guaianaz da Fonseca ; Vila Madalena, São Paulo ;140;2;2;1;R$ 1.280.000
Rua Almirante de Inhaúma ; Alto da Lapa, São Paulo ;255;3;7;4;R$ 1.750.000
Rua Doutor Albino Rodrigues de Alvarenga ; Vila Universitária, São Paulo ;180;3;1;2;R$ 460.000
Jardim Guedala, São Paulo ; SP;702;3;5;6;R$ 5.500.000
Rua Marassa ; Jardim Campo Grande, São Paulo ;180;3;4;5;R$ 1.800.000
Jardim Guedala, São Paulo ; SP;828;5;7;12;R$ 6.000.000
Alameda Itu ; Jardim Paulista, São Paulo ;250;3;3;1;R$ 2.995.000
Vila Morse, São Paulo ; SP;200;3;2;2;R$ 630.000
Rua Ministro Sinésio Rocha ; Jardim Vera Cruz, São Paulo ;150;4;3;2;R$ 1.300.000
Rua Mongóis ; Vila Monumento, São Paulo ;240;3;4;5;R$ 1.290.000
Jardim Everest, São Paulo ; SP;1100;5;3;10;R$ 8.400.000
Avenida Professor Fonseca Rodrigues ; Alto de Pinheiros, São Paulo ;473;4;6;4;R$ 7.243.185
Avenida Professor Fonseca Rodrigues ; Alto de Pinheiros, São Paulo ;560;4;6;4;R$ 8.129.860
Avenida Professor Fonseca Rodrigues ; Alto de Pinheiros, São Paulo ;499;4;5;4;R$ 6.863.720
Rua Doutor João Neves Neto ; Jardim Guedala, São Paulo ;750;5;8;8;R$ 7.500.000
