Logradouro;Bairro;Preço (R$);Número;Mínimo Área (m²);Máximo Área (m²);Mínimo Quartos;Máximo Quartos;Mínimo Banheiros;Máximo Banheiros;Mínimo Vagas;Máximo Vagas
Rua Colegio Pio XII;Fazenda Morumbi;1.690.000;1010;474;474;5;5;5;5;4;4
Rua Traipu;Pacaembu;1.280.000;202;174;174;3;3;4;4;3;3
Rua Joaquim José do Amaral;Jardim Alvorada (Zona Oeste);560.000;178;240;240;3;3;4;4;3;3
Rua Paraupava;Belenzinho;670.000;176;135;135;3;3;3;3;2;2
Avenida Armando Ferrentini;Paraíso;1.590.000;137;247;247;3;3;5;5;2;2
Rua Simpatia;Jardim das Bandeiras;3.640.000;401;476;476;4;4;3;3;4;4
Rua Apinajés;Perdizes;2.660.000;282;200;200;3;3;4;4;3;3
Rua Thereza Masironi Gonfiantini;Vila Nova Alba;500.000;244;147;147;3;3;3;3;2;2
Rua Comandante Garcia D'Ávila;Morumbi;1.390.000;64;393;393;6;6;6;6;4;4
Rua Dom Henrique;Jardim Luzitânia;6.600.000;450;395;395;4;4;7;7;3;3
Rua Luiz Amorim Costa;Vila Carolina;400.000;0;160;160;3;3;2;2;3;3
Rua Pirapó;Jardim Guedala;5.500.000;222;650;650;3;3;3;3;3;3
Rua Jupuruchita;Alto da Mooca;1.049.400;168;190;190;3;3;1;1;3;3
Rua Engenheiro Pedro Garcin;Vila Antônio;480.000;190;110;110;2;2;1;1;2;2
Rua Ajurapéia;Vila Madalena;1.050.000;65;210;210;3;3;1;1;2;2
Rua Stefan Marek Neuding;Jardim Sílvia (Zona Oeste);4.495.000;37738888;1643;1643;4;4;8;8;10;10
Rua Kalil Filho;Indianópolis;1.850.000;157;225;225;3;3;2;2;2;2
Rua Dezenove de Maio;Vila Esperança;680.000;401;170;170;3;3;3;3;2;2
Rua Margarida Galvão;Paineiras do Morumbi;4.100.000;0;580;580;3;3;4;4;6;6
Rua Conde de Irajá;Vila Mariana;1.950.000;208;369;369;3;3;1;1;3;3
Rua Doutor José Maria Whitaker;Vila Sônia;1.500.000;0;259;259;3;3;3;3;2;2
Rua Ulisses Cruz;Tatuapé;495.000;106;117;117;2;2;1;1;1;1
Rua Acruás;Vila Congonhas;1.200.000;188;158;158;2;2;1;1;2;2
Rua Vicente Biondo;Vila Ester (Zona Norte);670.000;216;226;226;3;3;1;1;4;4
Rua Caetano José Batista;Jardim das Acácias;691.000;202;150;150;3;3;1;1;2;2
Rua Xavier da Veiga;Santana;1.596.000;109;300;300;4;4;2;2;4;4
Rua Professor Oliveira Fausto;Alto da Mooca;1.600.000;260;360;360;4;4;1;1;4;4
Rua Japuanga;Vila Ida;4.043.000;265;400;400;3;3;1;1;5;5
Rua Baturité;Aclimação;1.383.000;38;208;208;3;3;1;1;3;3
Rua Oscar Caravelas;Sumarezinho;1.800.000;60;324;324;6;6;2;2;4;4
Rua Laurindo de Brito;Lapa;1.200.000;468;260;260;3;3;2;2;4;4
Rua Timbó;Mooca;1.000.000;130;170;170;3;3;1;1;2;2
Rua Frei Juan Auli;Jardim Patente;455.000;90;150;150;2;2;3;3;5;5
Avenida Piassanguaba;Planalto Paulista;980.000;1009;182;182;3;3;1;1;2;2
Rua Gil Fernandes;Bosque da Saúde;1.700.000;366;388;388;3;3;4;4;4;4
Rua Martins Bonilha;Alto da Mooca;1.300.000;21;175;175;6;6;3;3;2;2
Rua Antônio de Gouveia Giudice;Alto de Pinheiros;5.000.000;1585;483;483;5;5;1;1;4;4
Rua Pedro Mainente;Parque dos Príncipes;750.000;108;173;173;3;3;2;2;4;4
Rua Capital Federal;Sumaré;1.500.000;799;230;230;4;4;2;2;1;1
Rua Abagiba;Saúde;745.000;495;180;180;2;2;1;1;2;2
Rua Colatino Marques;Jardim Paulista;6.200.000;214;548;548;4;4;6;6;6;6
Rua Macejana;Indianópolis;638.500;39;89;89;3;3;1;1;2;2
Rua Monsanto;Pinheiros;2.900.000;62;420;420;4;4;4;4;6;6
Rua Gustavo Teixeira;Pacaembu;2.700.000;55;350;350;3;3;2;2;4;4
Rua das Fiandeiras;Vila Olímpia;1.500.000;157;141;141;2;2;2;2;1;1
Rua Costa Aguiar;Ipiranga;1.172.000;2434;219;219;3;3;1;1;1;1
Avenida das Corujas;Sumarezinho;2.021.300;214;110;110;3;3;1;1;4;4
